Timestamp,What is your affiliation to HDSI?,Are there any other factors that you would consider important?,Are there any other roles and responsibilities that you think the Student Council should take on?,What would be the best modes of communicating Student Council updates and events to students?,Are you interested in applying for positions within the HDSI Student Council?
2/27/2024 15:27:23,Guest of HDSI,,,,
2/29/2024 17:27:46,Guest of HDSI,,,,
2/29/2024 17:27:55,Guest of HDSI,,,,
2/29/2024 17:28:12,Guest of HDSI,,,,
2/29/2024 17:28:40,Guest of HDSI,,,,
2/29/2024 17:32:59,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 17:34:49,Guest of HDSI,,,,
2/29/2024 17:42:17,Data Science Undergraduate Major Student,,,"The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 17:43:34,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 17:44:01,Data Science Undergraduate Major Student,Their character ,Community work ,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 17:47:24,Data Science Undergraduate Major Student,Working on things,Idk,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website",No
2/29/2024 17:48:32,Data Science Undergraduate Major Student,Not sure.,Iâ€™m not sure.,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email",No
2/29/2024 17:49:35,Guest of HDSI,,,,
2/29/2024 17:50:48,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 17:51:02,Data Science MS Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 17:51:13,Data Science MS Graduate Student,I think the above ones are relevant ,No,Email,No
2/29/2024 17:51:25,Data Science MS Graduate Student,Nope,Nope ,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 17:57:37,Guest of HDSI,,,,
2/29/2024 17:57:48,Data Science Undergraduate Minor Student,na,"na
",The HDSI Website,Yes
2/29/2024 17:58:04,Guest of HDSI,,,,
2/29/2024 17:59:37,Data Science Undergraduate Major Student,Not really,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 18:00:13,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, Printed flyers",Yes
2/29/2024 18:00:45,Data Science Undergraduate Major Student,No,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:01:10,Data Science Undergraduate Major Student,Community ,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, Printed flyers",No
2/29/2024 18:01:16,Data Science Undergraduate Major Student,,,"Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 18:01:35,Data Science MS Graduate Student,Alumni network,Mental health,Email,Yes
2/29/2024 18:01:48,Data Science MS Graduate Student,N/a,N/a,Weekly HDSI Newsletters,No
2/29/2024 18:02:11,Data Science MS Graduate Student,,,Printed flyers,No
2/29/2024 18:02:14,Data Science Undergraduate Minor Student,Professional Development,,"Email, Weekly HDSI Newsletters, In-person announcements (in classes, townhalls)",No
2/29/2024 18:03:12,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:03:13,Data Science MS Graduate Student,Inclusion,,Email,No
2/29/2024 18:03:26,Data Science Undergraduate Major Student,,,"Email, Weekly HDSI Newsletters",No
2/29/2024 18:04:20,Data Science Undergraduate Major Student,none,listen to student feedbacks and talk to hdsi about the issues students are facing,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, Printed flyers",Yes
2/29/2024 18:04:22,Data Science MS Graduate Student,Extra curricular activities ,Sports,Email,No
2/29/2024 18:04:26,Data Science Undergraduate Major Student,Success,Success,The HDSI Website,No
2/29/2024 18:04:42,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",Yes
2/29/2024 18:04:46,Guest of HDSI,,,,
2/29/2024 18:05:06,Data Science Undergraduate Major Student,.,.,"Email, Weekly HDSI Newsletters, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 18:05:06,Data Science MS Graduate Student,Communicating with various people respectfully ,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 18:05:10,Data Science Undergraduate Major Student,Being respectful to all,No,"Email, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:05:14,Data Science Undergraduate Major Student,No,No,Weekly HDSI Newsletters,Yes
2/29/2024 18:05:48,Data Science Undergraduate Major Student,I like a good speaker.,Nope,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:06:15,Data Science PhD Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:06:22,Data Science MS Graduate Student,,,Email,No
2/29/2024 18:06:24,Data Science Undergraduate Major Student,Yes,Yes,Email,No
2/29/2024 18:06:43,Data Science PhD Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 18:06:49,Guest of HDSI,,,,
2/29/2024 18:07:04,Data Science Undergraduate Minor Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:07:28,Data Science PhD Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:07:32,Data Science PhD Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:07:47,Data Science PhD Graduate Student,No,No,Email,No
2/29/2024 18:07:58,Data Science Undergraduate Major Student,leadership,Guest,The HDSI Website,Yes
2/29/2024 18:08:06,Data Science Undergraduate Major Student,Being committed,Guest,Email,No
2/29/2024 18:08:14,Data Science PhD Graduate Student,Fairness,Consultation ,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:08:41,Guest of HDSI,,,,
2/29/2024 18:08:51,Data Science MS Graduate Student,no,na,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 18:09:32,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:09:36,Guest of HDSI,,,,
2/29/2024 18:09:37,Data Science MS Graduate Student,Industry links,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:09:48,Data Science MS Graduate Student,,,Weekly HDSI Newsletters,No
2/29/2024 18:09:55,Data Science Undergraduate Major Student,Strong work ethic,No,"Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 18:10:30,Data Science MS Graduate Student,,Increasing opportunities for students to work on,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",Yes
2/29/2024 18:10:48,Data Science Undergraduate Major Student,No other factor ,No other,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:12:06,Data Science PhD Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters",No
2/29/2024 18:12:24,Data Science MS Graduate Student,academic excellence,no,Email,No
2/29/2024 18:16:49,Data Science Undergraduate Major Student,No,No,Email,No
2/29/2024 18:17:28,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 18:17:48,Guest of HDSI,,,,
2/29/2024 18:18:26,Data Science PhD Graduate Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website",No
2/29/2024 18:18:47,Data Science PhD Graduate Student,Not sure!,Not sure!,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:19:23,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters",Yes
2/29/2024 18:20:29,Guest of HDSI,,,,
2/29/2024 18:21:00,Data Science PhD Graduate Student,"NA
",,"Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 18:21:35,Data Science PhD Graduate Student,no,no,The HDSI Website,No
2/29/2024 18:21:48,Data Science PhD Graduate Student,no,no,Email,No
2/29/2024 18:22:02,Data Science Undergraduate Major Student,,na,"Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:22:47,Data Science MS Graduate Student,G,I,Printed flyers,No
2/29/2024 18:23:02,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:29:30,Guest of HDSI,,,,
2/29/2024 18:30:07,Data Science Undergraduate Major Student,None that I know of right now.,Not sure.,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:30:18,Data Science Undergraduate Major Student,Nop,Not sure,Email,Yes
2/29/2024 18:30:52,Data Science MS Graduate Student,Ability to bring in diverse thought to the department,No,"Email, Weekly HDSI Newsletters",No
2/29/2024 18:31:43,Data Science Undergraduate Major Student,No,No,Email,No
2/29/2024 18:32:51,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 18:34:00,Data Science MS Graduate Student,Nope,Nope,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters",No
2/29/2024 18:35:06,Data Science MS Graduate Student,.,.,"Email, Weekly HDSI Newsletters",No
2/29/2024 18:35:35,Data Science MS Graduate Student,No,No,Email,No
2/29/2024 18:35:40,Data Science MS Graduate Student,,Na,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:37:51,Data Science Undergraduate Minor Student,,,Email,No
2/29/2024 18:37:56,Data Science MS Graduate Student,/,/,"Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 18:38:07,Data Science Undergraduate Major Student,No,No,Email,No
2/29/2024 18:39:04,Data Science Undergraduate Major Student,is pretty cool,idk,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",Yes
2/29/2024 18:39:13,Data Science Undergraduate Major Student,No,No,Weekly HDSI Newsletters,Yes
2/29/2024 18:42:43,Data Science PhD Graduate Student,. ,.,Email,No
2/29/2024 18:43:49,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:44:26,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 18:44:34,Data Science Undergraduate Minor Student,No,No,Email,No
2/29/2024 18:44:42,Data Science Undergraduate Major Student,diversity,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 18:45:12,Data Science Undergraduate Major Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:45:47,Data Science Undergraduate Major Student,no,no,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",Yes
2/29/2024 18:48:36,Data Science Undergraduate Major Student,"Merit, innovation",Community Outreach,"Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls)",No
2/29/2024 18:50:41,Data Science Undergraduate Major Student,   ,I think the mentioned options are a good fit of my expectations,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",No
2/29/2024 18:51:37,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email",No
2/29/2024 18:53:26,Data Science MS Graduate Student,No,Organize events,Email,No
2/29/2024 18:53:38,Data Science MS Graduate Student,Teamwork,Member of the student org,"Email, Weekly HDSI Newsletters",No
2/29/2024 18:53:41,Data Science MS Graduate Student,Not sure,Not as if now,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, In-person announcements (in classes, townhalls), Printed flyers",No
2/29/2024 18:57:40,Data Science Undergraduate Major Student,idk,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, The HDSI Website, In-person announcements (in classes, townhalls)",Yes
2/29/2024 18:57:57,Guest of HDSI,,,,
2/29/2024 18:58:21,Data Science Undergraduate Major Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 18:58:36,Guest of HDSI,,,,
2/29/2024 18:58:38,Guest of HDSI,,,,
2/29/2024 18:58:39,Data Science PhD Graduate Student,Entrepreneur ship,.,"Printed flyers, ",No
2/29/2024 18:58:43,Data Science Undergraduate Minor Student,Me,Me,Email,Yes
2/29/2024 18:58:51,Data Science Undergraduate Major Student,sure,yes,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",Yes
2/29/2024 18:59:01,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Email, Weekly HDSI Newsletters, The HDSI Website, In-person announcements (in classes, townhalls), Printed flyers",Yes
2/29/2024 19:01:37,Data Science Undergraduate Major Student,na,na,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters",No
2/29/2024 19:01:58,Data Science Undergraduate Major Student,-,-,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",Yes
2/29/2024 19:04:12,Data Science MS Graduate Student,,,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.), Weekly HDSI Newsletters, The HDSI Website",No
2/29/2024 19:04:45,Data Science Undergraduate Major Student,Tutor,Classes,Weekly HDSI Newsletters,Yes
2/29/2024 19:06:11,Data Science Undergraduate Minor Student,No,No,"Social Media (Instagram, TikTok, Twitter/X, Facebook, etc.)",Yes
2/29/2024 21:31:13,Data Science PhD Graduate Student,,,"Email, Weekly HDSI Newsletters",Yes
